Transaction_ID,User_ID,Date,Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Age,Card_Type,Fraud_Label
42D8D23A-E89,USER_4346,2026-04-09 12:47:12,315.37,Mobile,88729.28,Mobile,Paris,Travel,1,12,85,Discover,0
2A392695-554,USER_2335,2026-01-10 17:40:41,772.35,Online,18768.27,Mobile,Tokyo,Retail,0,36,1,Visa,1
55FF04DC-1CB,USER_6819,2025-12-25 03:19:52,116.31,Mobile,86421.98,Mobile,London,Food & Beverage,0,13,48,Discover,0
DD612B33-659,USER_5438,2025-07-01 20:25:00,161.66,Online,67117.06,Mobile,Paris,Healthcare,0,8,102,Discover,0
59B3BF03-19A,USER_4411,2026-02-17 21:18:15,1551.51,Wire Transfer,23718.35,Mobile,Paris,Entertainment,0,12,95,Mastercard,0
6E588601-650,USER_7162,2025-07-02 06:29:30,156.25,Online,88644.36,Tablet,Dubai,Finance,0,1,34,Mastercard,0
D2136279-002,USER_7991,2026-02-09 02:09:03,107.79,POS,12120.11,Mobile,Paris,Entertainment,0,3,119,Visa,0
7ED121C1-426,USER_1921,2026-06-14 18:31:20,74.76,Online,52272.81,Mobile,Berlin,Healthcare,0,6,68,Discover,0
FBE06CE9-644,USER_6613,2026-01-26 11:47:05,717.51,Online,1329.96,Mobile,Toronto,Food & Beverage,0,49,3,Mastercard,1
74E6A398-3B2,USER_4453,2025-11-09 19:20:19,111.23,Mobile,4490.86,Tablet,Singapore,Electronics,0,2,100,Mastercard,0
141A90F5-5CA,USER_3390,2025-07-16 19:28:26,29.31,POS,80448.52,Laptop,Dubai,Finance,0,11,90,Discover,0
2B63AFF8-077,USER_5131,2025-08-09 07:09:35,55.48,Online,80997.85,Mobile,Paris,Utilities,1,8,87,Mastercard,0
B2420FBF-330,USER_1013,2026-06-17 20:00:55,202.82,POS,17774.34,Laptop,Dubai,Travel,0,3,88,Amex,0
FCFCADBD-AAA,USER_1532,2025-10-09 19:19:23,29.93,POS,21635.72,Desktop,Tokyo,Electronics,0,1,12,Amex,0
30367012-2D2,USER_4403,2026-06-03 09:33:16,19.41,POS,70697.51,Laptop,London,Retail,0,4,65,Visa,0
ED3335F0-74B,USER_3655,2025-06-27 21:40:51,153.83,POS,61233.52,Tablet,Tokyo,Utilities,0,4,111,Mastercard,0
B46052EC-1EB,USER_7179,2026-02-01 04:19:13,771.41,Online,3030.51,Mobile,Berlin,Healthcare,1,49,23,Mastercard,1
D04D8B49-80B,USER_2348,2026-04-29 12:03:13,128.55,ATM,15214.68,Laptop,Dubai,Entertainment,0,7,7,Amex,0
0B002BAA-BA3,USER_1685,2025-06-25 09:04:34,91.68,Wire Transfer,97247.0,Mobile,Sydney,Electronics,0,9,51,Mastercard,0
324CEF0B-D22,USER_2899,2025-10-20 16:32:04,89.43,Online,15958.04,Mobile,Toronto,Travel,0,9,95,Amex,0
8B841A39-A3E,USER_6106,2026-05-10 07:42:06,407.18,POS,82434.22,Laptop,Sydney,Travel,0,4,23,Mastercard,0
4B211145-4B4,USER_5485,2026-02-13 11:32:42,1332.19,Online,15601.32,Tablet,Singapore,Electronics,0,29,2,Mastercard,1
4B01B64E-440,USER_5413,2026-01-12 05:23:21,587.86,Online,4362.0,Laptop,Sydney,Travel,0,19,28,Visa,1
BFA5A052-25E,USER_4477,2025-08-20 20:18:17,144.46,Wire Transfer,96172.42,Mobile,Mumbai,Finance,0,4,58,Mastercard,0
94A3A24C-6FC,USER_3800,2026-03-20 16:54:36,19.13,POS,47239.5,Mobile,Tokyo,Finance,0,13,102,Visa,0
7A65D899-D59,USER_6151,2025-09-29 07:15:38,287.25,ATM,46510.95,Mobile,Paris,Utilities,0,10,84,Mastercard,0
15FA0C3E-B2F,USER_5587,2025-07-16 03:40:38,1033.78,Online,64661.07,Mobile,Sydney,Entertainment,0,6,115,Discover,0
077363FC-6B6,USER_5807,2025-12-12 02:22:12,268.51,ATM,84990.69,Mobile,Dubai,Finance,0,1,95,Discover,0
B704AEAD-D04,USER_1540,2026-05-12 21:53:45,53.09,Online,25169.28,Desktop,Tokyo,Healthcare,0,5,71,Discover,0
1033D886-6FE,USER_2026,2025-08-03 06:12:13,29.55,Online,32809.66,Tablet,Dubai,Electronics,0,5,80,Discover,0
A00AEB32-07C,USER_6903,2026-03-16 00:04:22,105.99,POS,56859.87,Mobile,Berlin,Food & Beverage,0,8,36,Discover,0
DB33B9EC-15F,USER_3180,2025-11-30 03:21:40,52.97,Online,45198.38,Laptop,Tokyo,Retail,0,6,30,Mastercard,0
AA7734B5-CF2,USER_1546,2025-11-30 14:56:07,26.85,Mobile,54888.31,Laptop,Toronto,Retail,0,1,4,Mastercard,0
136BB7D0-A5B,USER_4004,2025-09-06 18:12:40,155.97,POS,24455.7,Laptop,Mumbai,Utilities,0,3,106,Amex,0
2E4F54B3-0AF,USER_5396,2025-08-24 19:47:11,43.39,POS,31088.33,Tablet,Mumbai,Finance,0,2,97,Mastercard,0
8EDBF990-DBC,USER_8641,2026-05-25 04:36:52,179.38,POS,41298.05,Laptop,Mumbai,Travel,0,9,111,Mastercard,0
482CB6B2-057,USER_1399,2025-09-13 05:26:08,142.05,Online,98097.5,Laptop,Sydney,Finance,0,1,116,Discover,0
8BAB91E2-B9E,USER_1596,2025-11-03 10:57:14,150.43,Online,52705.97,Tablet,Sydney,Healthcare,0,6,11,Mastercard,0
0633FE6C-A2B,USER_5582,2025-11-12 04:09:27,168.63,Online,47692.26,Mobile,Toronto,Retail,0,12,48,Amex,0
A8D20F93-A40,USER_7504,2026-02-02 10:42:57,152.14,Wire Transfer,24540.21,Mobile,Singapore,Retail,0,4,117,Amex,0
5BBB0056-225,USER_8627,2026-06-20 11:50:03,139.83,Mobile,69732.86,Mobile,Singapore,Utilities,0,14,38,Amex,0
BA28B30C-007,USER_3589,2025-08-06 18:14:53,89.78,POS,59000.25,Mobile,Mumbai,Utilities,0,11,42,Discover,0
761F06C3-4BE,USER_5964,2025-09-03 16:11:17,58.53,Online,6778.97,Mobile,Dubai,Electronics,0,7,103,Amex,0
63DFBD8C-CAD,USER_3954,2025-06-25 07:53:57,3614.89,ATM,17416.79,Mobile,New York,Finance,0,16,35,Amex,1
41B9D688-1C9,USER_1015,2026-01-23 04:46:41,301.06,Online,30259.33,Laptop,New York,Entertainment,0,4,65,Discover,0
83D16C45-412,USER_8591,2026-04-08 14:13:50,464.88,POS,89219.66,Laptop,Mumbai,Healthcare,0,11,98,Mastercard,0
43F42F5A-B16,USER_3006,2025-09-18 21:57:15,76.05,POS,28375.5,Tablet,Dubai,Food & Beverage,0,14,117,Discover,0
DB028027-3C4,USER_4628,2026-02-15 02:36:22,17.55,Mobile,12214.36,Mobile,Paris,Utilities,0,4,4,Visa,0
7B484946-2BD,USER_5314,2026-04-06 04:34:25,9.6,ATM,45959.59,Mobile,Sydney,Retail,0,4,109,Mastercard,0
718145C3-623,USER_5861,2025-07-17 01:30:26,218.05,Mobile,16606.59,Mobile,Berlin,Travel,0,5,1,Discover,0
9B335B37-783,USER_4187,2026-02-23 06:00:43,18.82,POS,94784.37,Mobile,Mumbai,Electronics,0,10,88,Visa,0
EDE6E73C-35C,USER_1570,2025-12-13 11:15:47,152.34,Online,47956.85,Laptop,London,Retail,0,14,56,Mastercard,0
B4E72D29-ABD,USER_9637,2026-05-28 08:33:58,85.28,Online,92314.36,Laptop,New York,Healthcare,0,14,52,Amex,0
ECC038D6-D89,USER_4158,2026-02-10 02:37:42,17.19,POS,32751.19,Laptop,Sydney,Healthcare,0,5,8,Amex,0
02E7E02C-003,USER_6456,2026-04-21 04:34:24,29.81,ATM,26228.05,Desktop,London,Entertainment,0,4,21,Amex,0
43C29486-99F,USER_4798,2025-10-18 06:19:49,3761.08,Online,13784.41,Mobile,Singapore,Retail,1,20,11,Discover,1
1591A5F4-9E3,USER_5369,2025-09-14 14:39:55,390.24,ATM,33905.42,Laptop,Toronto,Utilities,0,14,16,Mastercard,0
AC5AF638-833,USER_5204,2025-07-26 14:03:46,17.79,Online,45106.59,Laptop,Paris,Electronics,0,1,53,Mastercard,0
46A46051-71F,USER_3832,2025-09-08 19:36:51,493.72,POS,85757.16,Mobile,Berlin,Finance,1,4,57,Visa,0
13B1538E-281,USER_5814,2025-10-10 03:52:51,90.51,Online,60809.41,Mobile,Berlin,Food & Beverage,0,11,12,Visa,0
516129C0-D7A,USER_5501,2026-04-29 17:44:10,2574.3,Wire Transfer,14218.47,Mobile,New York,Food & Beverage,0,21,29,Amex,1
55DE29B3-04C,USER_2520,2026-05-07 03:42:19,19.16,ATM,98987.93,Desktop,Sydney,Electronics,0,9,43,Discover,0
086FFDB3-B44,USER_4490,2026-05-16 08:51:16,96.72,POS,25907.28,Mobile,New York,Travel,0,4,41,Visa,0
EDD05CB4-C61,USER_9751,2025-10-21 09:03:15,17.76,POS,74756.19,Mobile,Toronto,Utilities,0,14,4,Amex,0
48EF4737-BB4,USER_1158,2025-11-16 08:51:10,130.07,POS,57369.1,Mobile,Tokyo,Food & Beverage,0,2,89,Amex,0
778013EA-CC0,USER_9909,2026-05-02 11:16:15,685.71,Online,5070.04,Mobile,Toronto,Healthcare,0,13,54,Mastercard,0
30F9BA0F-3EB,USER_5537,2026-01-04 15:42:48,100.0,Mobile,17085.24,Tablet,Toronto,Healthcare,0,45,25,Mastercard,1
4FEF3AAA-1DE,USER_9010,2026-02-20 17:14:46,205.24,Mobile,95603.93,Tablet,Toronto,Utilities,0,13,103,Visa,0
CCB157BF-75C,USER_3921,2026-02-28 23:36:55,393.94,POS,58228.68,Laptop,New York,Finance,0,5,85,Mastercard,0
FF41DB3E-017,USER_1989,2025-11-15 07:07:46,393.77,Online,13609.0,Desktop,Paris,Retail,0,38,23,Discover,1
00CA5183-593,USER_4612,2025-08-17 07:11:08,81.16,POS,4498.18,Desktop,Mumbai,Travel,0,5,60,Discover,0
7C33D572-A45,USER_5139,2026-04-23 10:00:34,373.42,POS,2877.05,Tablet,Berlin,Utilities,0,10,56,Discover,0
BDA4FB12-809,USER_8635,2025-12-24 07:57:19,75.75,Mobile,54097.84,Mobile,Paris,Travel,1,1,43,Mastercard,0
899DC4C2-A48,USER_1616,2026-03-07 03:28:55,537.31,Online,90615.61,Mobile,London,Entertainment,0,13,61,Visa,0
67974DC1-E85,USER_2658,2025-08-31 13:12:11,49.07,Online,24637.55,Mobile,Mumbai,Food & Beverage,0,11,100,Visa,0
38CEA50A-966,USER_9732,2026-05-02 02:36:22,407.62,Online,82256.77,Mobile,Dubai,Finance,0,4,89,Amex,0
592D97A0-F41,USER_1665,2025-10-28 07:03:16,552.82,Online,20140.3,Mobile,New York,Finance,0,14,87,Mastercard,0
A3443FE1-99F,USER_5182,2025-10-16 21:50:37,68.98,ATM,67237.21,Laptop,London,Finance,0,6,55,Visa,0
1FCE480F-73F,USER_4741,2025-07-06 16:21:08,1705.79,POS,16643.85,Mobile,Paris,Electronics,0,26,31,Discover,1
70619D6A-D49,USER_1504,2025-07-07 11:39:18,555.66,Mobile,10770.62,Desktop,Tokyo,Electronics,0,6,33,Visa,0
D66848FC-1AB,USER_8028,2025-09-24 16:08:01,46.81,Online,72032.84,Mobile,Toronto,Food & Beverage,0,13,86,Amex,0
26B42134-5C7,USER_2303,2025-07-22 16:29:19,93.68,Mobile,79394.57,Desktop,Dubai,Utilities,0,8,43,Amex,0
9D8C14C3-85A,USER_8611,2025-12-17 03:01:44,635.24,Wire Transfer,94647.71,Desktop,Singapore,Food & Beverage,1,11,40,Amex,0
B4C909C4-DE2,USER_4589,2025-09-14 02:18:29,270.72,POS,91437.07,Tablet,Sydney,Finance,0,2,86,Amex,0
2A4DD46E-33A,USER_4250,2026-06-11 18:21:07,664.97,POS,45817.18,Tablet,Singapore,Travel,0,3,4,Visa,0
DF2DF7EA-43D,USER_1207,2025-12-24 00:53:25,2570.8,ATM,8926.04,Mobile,Sydney,Travel,0,15,12,Mastercard,1
7F30F0E8-DF2,USER_2879,2025-11-18 09:47:50,53.18,POS,86531.84,Mobile,Berlin,Finance,0,1,100,Amex,0
C36BF14F-3EE,USER_9513,2025-10-30 03:18:27,31.53,POS,41041.73,Desktop,Tokyo,Utilities,0,12,24,Mastercard,0
E45BD71D-455,USER_6114,2026-05-21 21:22:44,310.6,Online,4032.81,Desktop,Tokyo,Retail,0,29,17,Amex,1
EAFB693C-FFF,USER_8791,2025-08-23 23:44:59,204.7,POS,96933.64,Tablet,Sydney,Food & Beverage,0,9,2,Amex,0
E4FDEF9B-D31,USER_1803,2026-04-07 20:28:31,126.79,Online,47772.24,Laptop,Berlin,Entertainment,0,2,69,Mastercard,0
25524722-5F7,USER_8997,2026-05-01 16:38:57,491.93,Online,93262.97,Mobile,London,Retail,0,5,92,Mastercard,0
9499F8FC-161,USER_4944,2025-07-27 04:24:25,132.48,Online,6070.04,Mobile,London,Food & Beverage,0,12,118,Amex,0
A958A1F0-CCC,USER_1877,2025-10-26 05:25:27,56.58,ATM,88436.81,Laptop,Paris,Utilities,1,1,13,Amex,0
573A19FF-806,USER_9941,2026-06-01 06:16:54,271.31,Wire Transfer,40774.34,Mobile,Toronto,Entertainment,0,2,35,Visa,0
7C5D30AB-2FB,USER_7348,2026-01-13 01:12:11,322.83,ATM,24203.12,Tablet,Dubai,Travel,0,11,102,Amex,0
D13C9B50-64E,USER_9535,2025-12-25 05:00:28,116.96,Online,33056.4,Laptop,London,Retail,0,12,115,Mastercard,0
361BBC39-99C,USER_8030,2025-11-05 11:42:31,163.48,Online,3461.23,Mobile,New York,Finance,0,1,24,Amex,0
AB6F62EE-055,USER_4771,2025-08-25 08:25:01,43.99,POS,77423.6,Desktop,New York,Food & Beverage,0,4,113,Discover,0
0CA6E75A-9AA,USER_7690,2025-10-21 12:53:16,79.85,POS,8144.28,Laptop,Toronto,Electronics,0,8,43,Discover,0
2A437C82-3EC,USER_6936,2026-04-07 22:32:56,28.81,Online,55914.05,Mobile,Mumbai,Entertainment,0,12,99,Visa,0
1720CDF3-FF1,USER_5372,2026-06-10 20:11:10,43.44,Online,67948.02,Mobile,Mumbai,Entertainment,0,6,31,Mastercard,0
2BFDEF2C-0AA,USER_9555,2025-11-13 01:25:49,273.76,Online,35969.58,Desktop,Toronto,Entertainment,0,11,115,Mastercard,0
D840044F-F11,USER_3896,2026-04-21 15:30:26,175.71,ATM,7648.93,Laptop,London,Food & Beverage,0,7,112,Amex,0
AB94D6B8-F5D,USER_5175,2025-08-11 05:29:01,100.0,Online,16009.71,Mobile,Tokyo,Retail,0,40,20,Mastercard,1
8CBEC819-B53,USER_7527,2026-05-24 17:27:42,122.79,Wire Transfer,90723.58,Mobile,Berlin,Electronics,0,14,37,Amex,0
A0C24E1D-202,USER_1196,2025-07-03 09:05:15,173.68,Online,99566.73,Tablet,Dubai,Travel,0,10,29,Amex,0
FBDD3C16-827,USER_8092,2026-05-12 12:36:54,60.96,ATM,17033.43,Mobile,Dubai,Retail,0,7,70,Discover,0
F2364439-B1A,USER_7300,2025-07-22 00:04:07,124.76,Mobile,56455.52,Desktop,Berlin,Finance,0,5,35,Amex,0
839707E5-6CF,USER_3246,2026-06-06 01:35:30,149.4,Wire Transfer,750.36,Laptop,Toronto,Electronics,0,42,13,Amex,1
F84FF941-C33,USER_4374,2025-12-22 02:36:34,5.3,Online,63625.2,Tablet,Singapore,Electronics,0,13,82,Visa,0
6B2950CE-BF9,USER_9720,2025-12-07 05:48:39,127.39,POS,66541.14,Mobile,Berlin,Entertainment,0,2,1,Amex,0
7ADBF16E-C96,USER_5792,2026-01-06 00:23:39,445.94,Mobile,85656.4,Laptop,Paris,Retail,0,1,64,Mastercard,0
23DA0E46-85B,USER_2139,2025-12-19 00:38:10,234.67,Online,4281.8,Tablet,London,Utilities,0,35,9,Visa,1
CAF33AF1-BAA,USER_6113,2026-05-24 15:57:59,97.73,ATM,32419.79,Mobile,London,Food & Beverage,0,8,97,Mastercard,0
735033BD-38C,USER_4876,2025-09-09 16:37:11,534.94,ATM,15677.63,Laptop,Toronto,Retail,0,13,78,Discover,0
6CD16FF3-F5B,USER_6403,2026-05-05 16:21:12,371.4,POS,53686.55,Mobile,Tokyo,Electronics,0,12,13,Visa,0
C37D6A49-2C7,USER_7627,2026-04-08 17:09:58,71.69,Online,26802.34,Mobile,Dubai,Travel,0,14,93,Visa,0
CDC1E42F-C12,USER_1403,2025-12-21 06:14:38,13.38,Mobile,50391.21,Laptop,London,Food & Beverage,0,9,69,Amex,0
35A1B81C-7DE,USER_1044,2026-04-05 02:46:26,25.8,POS,2662.59,Tablet,London,Electronics,0,3,114,Mastercard,0
EB94E28F-807,USER_8231,2026-05-15 07:56:41,89.45,POS,77875.29,Mobile,Mumbai,Retail,1,3,97,Discover,0
CBD47E7E-E22,USER_7341,2026-04-27 15:38:19,37.98,ATM,53156.72,Laptop,Paris,Healthcare,0,5,41,Visa,0
F72E42F4-D0E,USER_8134,2026-01-14 12:46:57,663.74,Online,44716.52,Laptop,Mumbai,Entertainment,0,13,101,Discover,0
251440C3-BFC,USER_6653,2026-05-09 09:55:24,112.76,ATM,62982.13,Desktop,New York,Entertainment,0,6,87,Mastercard,0
7768B1AC-626,USER_7924,2026-02-24 04:22:48,177.85,Online,85020.53,Mobile,Toronto,Food & Beverage,0,4,35,Discover,0
557F626A-3E1,USER_5942,2025-09-27 00:32:22,9.6,Wire Transfer,49604.16,Mobile,Toronto,Finance,0,8,117,Discover,0
304A8BEA-546,USER_9592,2025-07-24 10:34:53,55.29,POS,11059.48,Laptop,Sydney,Food & Beverage,0,13,54,Mastercard,0
5025C680-D9A,USER_9064,2026-05-01 07:56:04,865.49,Mobile,11967.39,Mobile,London,Retail,0,26,2,Visa,1
21539039-283,USER_3089,2025-09-25 21:39:15,46.93,Online,85191.3,Laptop,Berlin,Utilities,0,5,93,Visa,0
A79057AC-2ED,USER_1283,2025-12-15 06:52:28,9.44,POS,74388.02,Tablet,Paris,Electronics,0,1,25,Discover,0
D5757166-68D,USER_7643,2025-07-22 23:51:06,149.95,POS,2546.86,Desktop,Dubai,Finance,0,13,35,Discover,0
F9B34FC0-C79,USER_8142,2025-10-16 13:56:51,1593.65,ATM,3137.22,Mobile,Singapore,Food & Beverage,1,11,10,Discover,1
AAA7AE4B-E07,USER_7728,2026-01-16 05:12:43,337.9,Online,24831.77,Mobile,Tokyo,Retail,0,6,18,Discover,0
A20476E0-7C1,USER_1289,2026-03-12 02:46:03,17.24,Online,40540.63,Mobile,Toronto,Healthcare,0,6,96,Mastercard,0
A9B58549-383,USER_6624,2026-05-21 21:48:16,52.35,Wire Transfer,74529.24,Laptop,Toronto,Food & Beverage,0,11,40,Discover,0
1E30E84D-34D,USER_5552,2026-02-17 23:01:34,48.36,ATM,59565.43,Mobile,Singapore,Food & Beverage,0,3,27,Amex,0
1AC36E8F-BC9,USER_5798,2025-11-11 08:06:06,76.97,Online,15995.08,Laptop,Berlin,Food & Beverage,0,5,82,Discover,0
79E54D43-F0A,USER_6689,2025-10-21 10:31:14,202.42,Mobile,7249.6,Laptop,Toronto,Finance,0,10,92,Discover,0
AA315D21-CEC,USER_1042,2025-11-10 22:51:26,27.34,ATM,15387.55,Desktop,Dubai,Retail,0,1,19,Visa,0
82B669F2-1EE,USER_1459,2026-01-24 10:26:52,26.38,POS,31240.38,Mobile,London,Travel,0,11,74,Mastercard,0
C4207C1B-69D,USER_9377,2026-01-12 08:04:46,58.53,POS,75611.96,Laptop,Tokyo,Food & Beverage,0,2,118,Visa,0
253773CC-AD6,USER_6419,2025-11-20 00:49:08,25.69,POS,55579.1,Desktop,New York,Utilities,0,4,72,Mastercard,0
0819E75D-39D,USER_7609,2025-12-22 08:02:46,167.5,POS,35365.5,Desktop,Sydney,Retail,0,2,64,Visa,0
124CA08E-D22,USER_3809,2026-01-11 14:08:02,440.1,Online,60682.25,Tablet,Sydney,Healthcare,0,2,97,Visa,0
AF1D3AF8-5A9,USER_5379,2025-10-08 14:29:07,74.99,ATM,31605.83,Tablet,Sydney,Travel,1,2,102,Mastercard,0
DA760152-96D,USER_7390,2026-01-24 19:22:33,28.46,POS,59153.35,Laptop,Dubai,Retail,1,2,15,Visa,0
589DF0AA-8AF,USER_4723,2025-08-14 05:15:39,139.31,POS,15727.74,Laptop,Toronto,Utilities,0,4,14,Discover,0
000DE91A-E43,USER_6271,2025-11-19 05:54:17,180.44,Mobile,13701.01,Tablet,New York,Travel,0,11,114,Amex,0
560EFE3F-9F5,USER_8536,2025-09-15 17:39:54,61.05,Wire Transfer,22549.32,Mobile,Dubai,Finance,1,10,68,Mastercard,0
7D901060-AFF,USER_5929,2025-11-17 09:41:39,113.35,ATM,12556.66,Mobile,Dubai,Finance,0,12,4,Mastercard,0
3FB59B63-18E,USER_8543,2026-02-22 14:51:19,2246.25,ATM,17525.5,Mobile,London,Food & Beverage,1,24,32,Mastercard,1
224CC74C-CB6,USER_7777,2026-04-15 01:56:04,92.75,POS,1241.55,Tablet,London,Retail,0,4,98,Mastercard,0
56368798-CE6,USER_3080,2026-01-08 01:07:33,82.04,Online,85330.44,Laptop,Singapore,Utilities,0,1,20,Mastercard,0
D2444133-9E2,USER_3830,2026-06-09 09:19:29,278.96,ATM,69875.51,Tablet,Berlin,Electronics,0,4,30,Mastercard,0
0785F00F-560,USER_3251,2025-10-05 17:12:25,880.19,ATM,50069.99,Mobile,Berlin,Healthcare,0,14,42,Amex,0
5394C4D3-ABE,USER_8083,2025-11-14 11:48:37,36.8,Online,30743.72,Mobile,Sydney,Retail,0,2,21,Mastercard,0
262F3AB8-C9A,USER_1819,2026-04-21 12:45:51,281.71,Online,71367.61,Laptop,Dubai,Entertainment,0,13,22,Discover,0
9B422B31-BFB,USER_5373,2026-02-06 04:22:18,484.62,Online,61344.06,Mobile,Berlin,Travel,0,4,35,Discover,0
2EC40C8F-751,USER_9257,2025-08-25 01:35:18,8.43,Online,40815.54,Mobile,Dubai,Electronics,0,7,29,Discover,0
64BE17B4-FBE,USER_4806,2026-02-08 05:18:39,81.4,Online,27904.91,Desktop,Paris,Entertainment,0,10,119,Visa,0
FA11250E-1BE,USER_8678,2026-05-17 02:33:43,119.41,Online,72906.19,Laptop,Tokyo,Entertainment,0,8,30,Visa,0
2FA81333-3E8,USER_7749,2026-04-21 03:50:38,31.34,ATM,66835.73,Mobile,Tokyo,Electronics,0,6,31,Discover,0
